id,name,cuisine,type,locality,lat,long,avg_rating,currency,cost_for_two,url
7417973,KFC,american,western,Bogor Tengah,-6.602394444,106.8054806,3.1,IDR,100000,https://www.zomato.com/jakarta/kfc-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425399,Bull Wings Factory,american,western,Bogor Tengah,-6.601833333,106.8073333,0,IDR,250000,https://www.zomato.com/jakarta/bull-wings-factory-1-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418006,Bull Wings Factory,american,western,Bogor Tengah,-6.588922222,106.8057778,3.5,IDR,250000,https://www.zomato.com/jakarta/bull-wings-factory-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418599,Texas Chicken,american,western,Bogor Utara,-6.569166667,106.8078333,0,IDR,70000,https://www.zomato.com/jakarta/texas-chicken-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18175593,O' Chicken,american,western,Sawangan,-6.434428,106.796488,0,IDR,60000,https://www.zomato.com/jakarta/o-chicken-sawangan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415278,Kick Chicks,american,western,Pancoran Mas,-6.395166667,106.8241667,0,IDR,60000,https://www.zomato.com/jakarta/kick-chicks-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18173118,Cheese Chicken,american,western,Pancoran Mas,-6.390833333,106.8248333,0,IDR,60000,https://www.zomato.com/jakarta/cheese-chicken-pancoran-mas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415097,KFC,american,western,Beji,-6.386080556,106.827775,3,IDR,100000,https://www.zomato.com/jakarta/kfc-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416387,Fiesta Steak,american,western,Jatisampurna,-6.3825,106.926,3,IDR,250000,https://www.zomato.com/jakarta/fiesta-steak-jatisampurna?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415560,KFC,american,western,Beji,-6.374477778,106.8325667,3.4,IDR,100000,https://www.zomato.com/jakarta/kfc-1-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415191,Fiesta Steak,american,western,Beji,-6.372405556,106.8350444,2.2,IDR,250000,https://www.zomato.com/jakarta/fiesta-steak-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415094,AH Resto Cafe,american,western,Beji,-6.361822222,106.8262778,2.7,IDR,100000,https://www.zomato.com/jakarta/ah-resto-cafe-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412898,Cimilku,american,western,Pamulang,-6.345491667,106.7357778,2.4,IDR,100000,https://www.zomato.com/jakarta/cimilku-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411032,KFC,american,western,Jagakarsa,-6.345,106.8335,3,IDR,100000,https://www.zomato.com/jakarta/kfc-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412214,Barrel Resto,american,western,Pamulang,-6.343697222,106.7202444,3.3,IDR,100000,https://www.zomato.com/jakarta/barrel-resto-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412398,KFC,american,western,Pamulang,-6.342225,106.7253194,2.8,IDR,100000,https://www.zomato.com/jakarta/kfc-pamulang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18173116,Trans Burger,american,western,Cinere,-6.323833333,106.7838333,0,IDR,40000,https://www.zomato.com/jakarta/trans-burger-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412756,Keblenger Burger,american,western,Ciputat Timur,-6.319419444,106.7687833,2.5,IDR,70000,https://www.zomato.com/jakarta/keblenger-burger-ciputat-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
