id,name,cuisine,type,kecamatan,kota,locality,lat,long,avg_rating,currency,avg_cost,url
7412009,Cak Karim Lamongan,indonesia,eastern,Cakung,Kota Jakarta Timur,Cakung,-6.208869444,106.9363944,0,IDR,15000,https://www.zomato.com/jakarta/cak-karim-lamongan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411785,Baso Malang Karapitan,bakso,eastern,Cakung,Kota Jakarta Timur,Cakung,-6.187083333,106.9584806,2.7,IDR,60000,https://www.zomato.com/jakarta/baso-malang-karapitan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423931,Bakso Lapangan Tembak Senayan,bakso,eastern,Cakung,Kota Jakarta Timur,Cakung,-6.186593,106.958524,0,IDR,65000,https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404631,Bakso Bakwan Malang Cak Su Kumis,bakso,eastern,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.1766,106.8736194,3.5,IDR,25000,https://www.zomato.com/jakarta/bakso-bakwan-malang-cak-su-kumis-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404490,Bakso Daging Sapi Taman Solo,bakso,eastern,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.176333333,106.8726667,3.8,IDR,15000,https://www.zomato.com/jakarta/bakso-daging-sapi-taman-solo-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404490,Bakso Daging Sapi Taman Solo,indonesia,eastern,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.176333333,106.8726667,3.8,IDR,15000,https://www.zomato.com/jakarta/bakso-daging-sapi-taman-solo-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404419,Bakmi Naga Resto,bakmi,eastern,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.169166667,106.8768333,2.9,IDR,100000,https://www.zomato.com/jakarta/bakmi-naga-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411888,Bakmi Naga Resto,bakmi,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.16455,106.7259833,0,IDR,100000,https://www.zomato.com/jakarta/bakmi-naga-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425984,Sakura Japanese Restaurant,sushi,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.139177778,106.724075,0,IDR,400000,https://www.zomato.com/jakarta/sakura-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411981,Bakpao A531,chinese,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.135061111,106.7203833,0,IDR,15000,https://www.zomato.com/jakarta/bakpao-a531-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412010,Bakmi Siantar A 28,bakmi,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.134086111,106.7328194,0,IDR,20000,https://www.zomato.com/jakarta/bakmi-siantar-a-28-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412010,Bakmi Siantar A 28,chinese,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.134086111,106.7328194,0,IDR,20000,https://www.zomato.com/jakarta/bakmi-siantar-a-28-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18228466,Bakso Bule,bakso,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.131808333,106.7324139,0,IDR,20000,https://www.zomato.com/jakarta/bakso-bule-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423168,Dapur Rawon,indonesia,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.130155556,106.7356556,0,IDR,15000,https://www.zomato.com/jakarta/dapur-rawon-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424783,Bola Seafood Acui,bakmi,eastern,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.129973,106.721336,3.2,IDR,75000,https://www.zomato.com/jakarta/bola-seafood-acui-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410216,Mie Ceker Bandung,bakso,eastern,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.294333333,106.7801667,3.4,IDR,50000,https://www.zomato.com/jakarta/mie-ceker-bandung-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404784,Takigawa,sushi,eastern,Cilandak,Kota Jakarta Selatan,Cilandak,-6.291666667,106.8005,2.6,IDR,150000,https://www.zomato.com/jakarta/takigawa-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411119,Graffiti Restaurant - Mercure Jakarta Simatupang,indonesia,eastern,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.291587,106.779285,3.4,IDR,300000,https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424101,Dashan,chinese,eastern,Cilandak,Kota Jakarta Selatan,Cilandak,-6.291234,106.804299,0,IDR,750,https://www.zomato.com/jakarta/dashan-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424101,Dashan,indonesia,eastern,Cilandak,Kota Jakarta Selatan,Cilandak,-6.291234,106.804299,0,IDR,750,https://www.zomato.com/jakarta/dashan-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410442,Mister Baso,bakso,eastern,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.289666667,106.7785,2.7,IDR,50000,https://www.zomato.com/jakarta/mister-baso-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7405069,Bakmi Naga Resto,bakmi,eastern,Cilandak,Kota Jakarta Selatan,Fatmawati,-6.277916667,106.80075,0,IDR,100000,https://www.zomato.com/jakarta/bakmi-naga-1-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421483,Andromeda Coffee Shop - Hotel Amaroossa,chinese,eastern,Cilandak,Kota Jakarta Selatan,Cilandak,-6.276244,106.808656,0,IDR,250000,https://www.zomato.com/jakarta/andromeda-coffee-shop-hotel-amaroossa-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420189,Bakso Lapangan Tembak Senayan,bakso,eastern,Cipayung,Kota Jakarta Timur,Taman Mini,-6.303833333,106.8861667,3,IDR,65000,https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-taman-mini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
