id,name,cuisine,type,kecamatan,kota,locality,lat,long,avg_rating,currency,avg_cost,url
7404687,Pizza Hut,pizza,western,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.176527778,106.8745889,3.4,IDR,87500,https://www.zomato.com/jakarta/pizza-hut-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421130,Milk Me,western,western,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.176302778,106.8696889,2.7,IDR,30000,https://www.zomato.com/jakarta/milk-me-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404696,PHD,pizza,western,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.176230556,106.866425,2.8,IDR,75000,https://www.zomato.com/jakarta/phd-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404441,Waroeng Steak & Shake,steak,western,Cemp. Putih,Kota Jakarta Pusat,Cempaka Putih,-6.174388889,106.8603667,3,IDR,40000,https://www.zomato.com/jakarta/waroeng-steak-shake-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411909,PHD,pizza,western,Cengkareng,Kota Jakarta Barat,Cengkareng,-6.163869444,106.7228861,2.9,IDR,75000,https://www.zomato.com/jakarta/phd-1-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7426017,Blenger Burger,american,western,Cilandak,Kota Jakarta Selatan,Fatmawati,-6.3107,106.793799,3.7,IDR,45000,https://www.zomato.com/jakarta/blenger-burger-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409280,Sacher Torte,western,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.304,106.782,3.3,IDR,37500,https://www.zomato.com/jakarta/sacher-torte-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410660,Carols Kitchen,european,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.300333333,106.7745,0,IDR,40000,https://www.zomato.com/jakarta/carols-kitchen-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410515,Moss Cafe,european,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.296833333,106.788,3.1,IDR,40000,https://www.zomato.com/jakarta/moss-cafe-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410515,Moss Cafe,western,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.296833333,106.788,3.1,IDR,40000,https://www.zomato.com/jakarta/moss-cafe-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404840,Tartine,european,western,Cilandak,Kota Jakarta Selatan,Cilandak,-6.291833333,106.8001667,3.5,IDR,250000,https://www.zomato.com/jakarta/tartine-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404840,Tartine,western,western,Cilandak,Kota Jakarta Selatan,Cilandak,-6.291833333,106.8001667,3.5,IDR,250000,https://www.zomato.com/jakarta/tartine-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424878,Holycow! STEAKHOUSE by Chef Afit,steak,western,Cilandak,Kota Jakarta Selatan,Cilandak,-6.29182,106.799787,4.3,IDR,190000,https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420079,Karumba! Rooftop Rum Bar -  Mercure Jakarta Simatupang,european,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.291587,106.779285,3.9,IDR,325000,https://www.zomato.com/jakarta/karumba-rooftop-rum-bar-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411119,Graffiti Restaurant - Mercure Jakarta Simatupang,european,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.291587,106.779285,3.4,IDR,300000,https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420079,Karumba! Rooftop Rum Bar -  Mercure Jakarta Simatupang,western,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.291587,106.779285,3.9,IDR,325000,https://www.zomato.com/jakarta/karumba-rooftop-rum-bar-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411119,Graffiti Restaurant - Mercure Jakarta Simatupang,western,western,Cilandak,Kota Jakarta Selatan,Lebak Bulus,-6.291587,106.779285,3.4,IDR,300000,https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7406047,PHD,pizza,western,Cilandak,Kota Jakarta Selatan,Fatmawati,-6.282833333,106.796,2.9,IDR,75000,https://www.zomato.com/jakarta/phd-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7402584,Bodega's Sportsbar,steak,western,Cilandak,Kota Jakarta Selatan,Pondok Indah,-6.2825,106.7913333,3.1,IDR,175000,https://www.zomato.com/jakarta/bodega-s-sportsbar-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7405593,Abuba Steak,steak,western,Cilandak,Kota Jakarta Selatan,Fatmawati,-6.278271,106.807567,4,IDR,150000,https://www.zomato.com/jakarta/abuba-steak-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7405499,Boka Buka,american,western,Cilandak,Kota Jakarta Selatan,Fatmawati,-6.278166667,106.8046667,3.9,IDR,175000,https://www.zomato.com/jakarta/boka-buka-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
