map_name,map_desc,lat,long
Asian | indonesia | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/cak-karim-lamongan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Cak Karim Lamongan",-6.208869444,106.9363944
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/baso-malang-karapitan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Baso Malang Karapitan",-6.187083333,106.9584806
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-cakung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.186593,106.958524
Asian | bakso | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-bakwan-malang-cak-su-kumis-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Bakwan Malang Cak Su Kumis",-6.1766,106.8736194
Asian | bakso | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-daging-sapi-taman-solo-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Daging Sapi Taman Solo",-6.176333333,106.8726667
Asian | indonesia | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-daging-sapi-taman-solo-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Daging Sapi Taman Solo",-6.176333333,106.8726667
Asian | bakmi | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.169166667,106.8768333
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.16455,106.7259833
Asian | sushi | cost-3 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/sakura-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sakura Japanese Restaurant",-6.139177778,106.724075
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakpao-a531-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakpao A531",-6.135061111,106.7203833
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-siantar-a-28-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Siantar A 28",-6.134086111,106.7328194
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-siantar-a-28-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Siantar A 28",-6.134086111,106.7328194
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-bule-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Bule",-6.131808333,106.7324139
Asian | indonesia | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/dapur-rawon-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapur Rawon",-6.130155556,106.7356556
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bola-seafood-acui-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bola Seafood Acui",-6.129973,106.721336
Asian | bakso | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/mie-ceker-bandung-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mie Ceker Bandung",-6.294333333,106.7801667
Asian | sushi | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/takigawa-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Takigawa",-6.291666667,106.8005
Asian | indonesia | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Graffiti Restaurant - Mercure Jakarta Simatupang",-6.291587,106.779285
Asian | chinese | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/dashan-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dashan",-6.291234,106.804299
Asian | indonesia | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/dashan-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dashan",-6.291234,106.804299
Asian | bakso | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/mister-baso-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mister Baso",-6.289666667,106.7785
Asian | bakmi | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-1-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.277916667,106.80075
Asian | chinese | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/andromeda-coffee-shop-hotel-amaroossa-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Andromeda Coffee Shop - Hotel Amaroossa",-6.276244,106.808656
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-taman-mini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.303833333,106.8861667
Asian | indonesia | cost-2 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/krakatau-restaurant-hotel-santika-taman-mini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Krakatau Restaurant - Hotel Santika",-6.303533333,106.8862833
Asian | bakmi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/hot-cwie-mie-malang-pinang-ranti?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Hot Cwie Mie Malang",-6.287866667,106.9080194
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-pondok-gede?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.286930556,106.9085472
Asian | bakmi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-1-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.370075,106.8944472
Asian | bakmi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga",-6.369753,106.894009
Asian | bakmi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakmi-gm-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi GM",-6.369744444,106.8944028
Asian | indonesia | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/cireng-keraton-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Cireng Keraton",-6.369611111,106.8942111
Asian | sushi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/tako-n-sushi-box-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tako 'n Sushi Box",-6.369319444,106.8946
Asian | sushi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/kazoku-sushi-1-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Kazoku Sushi",-6.356111111,106.8905639
Asian | bakmi | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.247598,106.925282
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/baso-malang-karapitan-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Baso Malang Karapitan",-6.239022222,106.8940194
Asian | bakso | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.238461111,106.8943028
