map_name,map_desc,lat,long
Western | pizza | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/pizza-hut-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.176527778,106.8745889
Western | western | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/milk-me-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Milk Me",-6.176302778,106.8696889
Western | pizza | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/phd-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.176230556,106.866425
Western | steak | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/waroeng-steak-shake-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Waroeng Steak & Shake",-6.174388889,106.8603667
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/phd-1-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.163869444,106.7228861
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/blenger-burger-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Blenger Burger",-6.3107,106.793799
Western | western | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/sacher-torte-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sacher Torte",-6.304,106.782
Western | european | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/carols-kitchen-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Carols Kitchen",-6.300333333,106.7745
Western | european | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/moss-cafe-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Moss Cafe",-6.296833333,106.788
Western | western | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/moss-cafe-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Moss Cafe",-6.296833333,106.788
Western | european | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/tartine-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tartine",-6.291833333,106.8001667
Western | western | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/tartine-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tartine",-6.291833333,106.8001667
Western | steak | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Holycow! STEAKHOUSE by Chef Afit",-6.29182,106.799787
Western | european | cost-3 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/karumba-rooftop-rum-bar-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Karumba! Rooftop Rum Bar -  Mercure Jakarta Simatupang",-6.291587,106.779285
Western | european | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Graffiti Restaurant - Mercure Jakarta Simatupang",-6.291587,106.779285
Western | western | cost-3 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/karumba-rooftop-rum-bar-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Karumba! Rooftop Rum Bar -  Mercure Jakarta Simatupang",-6.291587,106.779285
Western | western | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/graffiti-restaurant-mercure-jakarta-simatupang-lebak-bulus?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Graffiti Restaurant - Mercure Jakarta Simatupang",-6.291587,106.779285
Western | pizza | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/phd-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.282833333,106.796
Western | steak | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/bodega-s-sportsbar-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bodega's Sportsbar",-6.2825,106.7913333
Western | steak | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/abuba-steak-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Abuba Steak",-6.278271,106.807567
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/boka-buka-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Boka Buka",-6.278166667,106.8046667
Western | european | cost-2 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/andromeda-coffee-shop-hotel-amaroossa-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Andromeda Coffee Shop - Hotel Amaroossa",-6.276244,106.808656
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/bilberry-cipayung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bilberry",-6.314066667,106.9078667
Western | western | cost-2 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/krakatau-restaurant-hotel-santika-taman-mini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Krakatau Restaurant - Hotel Santika",-6.303533333,106.8862833
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/pizza-hut-taman-mini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.302922222,106.8848722
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/pizza-hut-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.369813889,106.8944333
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/gian-pizza-cimanggis?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Gian Pizza",-6.369513889,106.8844444
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/tong-tji-tea-bar-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tong Tji Tea Bar",-6.368052778,106.8905806
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/waroeng-steak-shake-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Waroeng Steak & Shake",-6.249133333,106.9410861
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/torry-coffee-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Torry Coffee",-6.248169444,106.9146056
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Holycow! STEAKHOUSE by Chef Afit",-6.247979,106.931829
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/phd-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.247691667,106.9164361
Western | american | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/kfc-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.246666667,106.9078222
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/pizza-hut-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.243513889,106.9344639
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/planet-hot-plate-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Planet Hot Plate",-6.238594444,106.8941583
Western | steak | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/wills-steak-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Will's Steak",-6.238594444,106.8941583
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2385,106.9036667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-pondok-bambu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2385,106.9036667
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2384,106.9342111
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/dapoer-kite-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dapoer Kite",-6.2255,106.9146667
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/phd-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.220841667,106.9173667
Western | western | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/milk-me-klender?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Milk Me",-6.220752778,106.9179611
