nama_kecamatan,nama_kota,jml_western,jml_asian,avg_cost_western,avg_cost_asian,presentase_western,presentase_asian,opacity_western,opacity_asian
Cengkareng,Kota Jakarta Barat,8,1,328851,75000,89,11,16,2
Grogol petamburan,Kota Jakarta Barat,35,30,710209,801725,54,46,70,60
Kalideres,Kota Jakarta Barat,6,4,148333,251042,60,40,12,8
Kb. Jeruk,Kota Jakarta Barat,10,11,101002,292890,48,52,20,22
Kembangan,Kota Jakarta Barat,19,18,212875,340700,51,49,38,36
Palmerah,Kota Jakarta Barat,15,13,369018,309498,54,46,30,26
Tamansari,Kota Jakarta Barat,19,5,389257,292500,79,21,38,10
Tambora,Kota Jakarta Barat,6,3,242833,103333,67,33,12,6
Cemp. Putih,Kota Jakarta Pusat,4,4,62500,137500,50,50,8,8
Gambir,Kota Jakarta Pusat,14,13,615723,898333,52,48,28,26
Johar Baru,Kota Jakarta Pusat,2,0,22500,0,100,0,4,0
Kemayoran,Kota Jakarta Pusat,6,4,112333,228333,60,40,12,8
Menteng,Kota Jakarta Pusat,51,52,836555,1375016,50,50,100,100
Sawah Besar,Kota Jakarta Pusat,24,7,983343,940119,77,23,48,14
Senen,Kota Jakarta Pusat,12,7,432853,224881,63,37,24,14
Tanah Abang,Kota Jakarta Pusat,71,67,854292,1036572,51,49,100,100
Cilandak,Kota Jakarta Selatan,8,17,279207,370783,32,68,16,34
Jagakarsa,Kota Jakarta Selatan,1,10,90000,116048,9,91,2,20
Kebayoran Baru,Kota Jakarta Selatan,61,86,567741,906338,41,59,100,100
Kebayoran Lama,Kota Jakarta Selatan,26,34,428783,483173,43,57,52,68
Mampang Prapatan,Kota Jakarta Selatan,18,28,836140,519675,39,61,36,56
Pancoran,Kota Jakarta Selatan,4,7,137500,132143,36,64,8,14
Pesanggrahan,Kota Jakarta Selatan,1,3,25000,79167,25,75,2,6
Ps. Minggu,Kota Jakarta Selatan,10,9,242115,316935,53,47,20,18
Setiabudi,Kota Jakarta Selatan,43,60,1096852,1109436,42,58,86,100
Tebet,Kota Jakarta Selatan,14,20,271207,350493,41,59,28,40
Cakung,Kota Jakarta Timur,3,0,66667,0,100,0,6,0
Cipayung,Kota Jakarta Timur,4,3,248750,216667,57,43,8,6
Ciracas,Kota Jakarta Timur,6,3,175500,129167,67,33,12,6
Duren Sawit,Kota Jakarta Timur,4,23,167917,242845,15,85,8,46
Jatinegara,Kota Jakarta Timur,0,4,0,97500,0,100,0,8
Kramatjati,Kota Jakarta Timur,5,4,120417,116667,56,44,10,8
Makasar,Kota Jakarta Timur,1,0,90000,0,100,0,2,0
Matraman,Kota Jakarta Timur,0,8,0,157256,0,100,0,16
Ps. Rebo,Kota Jakarta Timur,1,3,15000,73333,25,75,2,6
Pondokgede,Kota Jakarta Timur,0,2,0,55000,0,100,0,4
Pulo Gadung,Kota Jakarta Timur,12,7,46920,98452,63,37,24,14
Klp. Gading,Kota Jakarta Utara,35,37,341304,337833,49,51,70,74
Koja,Kota Jakarta Utara,1,7,15000,104964,13,88,2,14
Pademangan,Kota Jakarta Utara,14,11,502496,392346,56,44,28,22
Penjaringan,Kota Jakarta Utara,30,19,617231,486494,61,39,60,38
Tj. Priok,Kota Jakarta Utara,10,6,403589,215000,63,38,20,12
